miss_id,miss_char,miss_count,created_at,updated_at,user_id
4,y,2,2025-03-27 02:20:21.826494+00,2025-03-27 02:20:21.826503+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
6,m,1,2025-03-27 02:20:21.829156+00,2025-03-27 02:20:21.829164+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
10,e,1,2025-03-27 02:20:21.834455+00,2025-03-27 02:20:21.834464+00,ab2d5d1d-c013-4486-8313-a96500b7b6b7
86,b,52,2025-04-02 01:34:08.649786+00,2025-06-30 06:18:27.096169+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
92,n,132,2025-04-02 01:34:09.284042+00,2025-06-27 01:42:07.094958+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
99,n,644,2025-04-02 01:34:13.383003+00,2025-06-30 09:38:28.18317+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
411,f,46,2025-04-07 07:22:17.211293+00,2025-06-30 06:24:52.381326+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
68,s,410,2025-04-02 01:34:06.448857+00,2025-06-30 09:17:29.221768+00,9f27d136-09de-407f-b405-7120b2d55daa
93,u,134,2025-04-02 01:34:09.285624+00,2025-06-27 01:42:07.160976+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
27,e,1343,2025-04-02 01:34:00.561844+00,2025-06-30 08:08:30.160352+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
45,i,699,2025-04-02 01:34:05.956778+00,2025-06-30 09:30:14.35643+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
354,u,13,2025-04-04 00:12:59.862994+00,2025-04-09 00:12:18.734786+00,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2
12,n,1323,2025-04-02 01:34:00.53976+00,2025-06-30 07:31:57.370823+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
239,w,203,2025-04-02 01:40:56.712309+00,2025-06-30 07:35:14.034758+00,327e4006-267d-40b0-88bb-2c4e84cefcad
407,l,6,2025-04-07 03:41:08.65921+00,2025-06-25 06:44:41.552841+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
52,o,901,2025-04-02 01:34:05.966424+00,2025-06-30 08:46:46.838257+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
37,n,33,2025-04-02 01:34:02.724565+00,2025-04-09 08:02:57.291519+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
87,m,127,2025-04-02 01:34:08.651135+00,2025-06-30 06:24:52.385194+00,ed7db178-e6d4-4007-8bbe-cd6781641ae6
90,i,171,2025-04-02 01:34:09.281311+00,2025-06-30 09:27:04.91579+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
62,k,499,2025-04-02 01:34:06.440802+00,2025-06-30 09:17:29.223063+00,9f27d136-09de-407f-b405-7120b2d55daa
59,w,138,2025-04-02 01:34:05.97584+00,2025-06-30 03:43:09.840098+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
391,r,99,2025-04-04 08:01:18.476312+00,2025-06-30 09:35:53.316588+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
95,o,171,2025-04-02 01:34:09.28918+00,2025-06-30 09:35:53.319151+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
67,n,645,2025-04-02 01:34:06.44752+00,2025-06-30 09:17:29.224336+00,9f27d136-09de-407f-b405-7120b2d55daa
102,a,712,2025-04-02 01:34:13.387069+00,2025-06-30 09:38:28.187044+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
105,r,505,2025-04-02 01:34:13.39121+00,2025-06-30 09:38:28.180212+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
94,y,79,2025-04-02 01:34:09.287093+00,2025-06-30 09:27:04.918326+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
56,j,105,2025-04-02 01:34:05.971814+00,2025-06-30 08:46:46.84117+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
54,g,139,2025-04-02 01:34:05.969116+00,2025-06-30 09:30:14.358347+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
49,n,518,2025-04-02 01:34:05.962204+00,2025-06-30 08:46:46.84244+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
13,i,2699,2025-04-02 01:34:00.542848+00,2025-06-30 08:08:30.161663+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
91,m,65,2025-04-02 01:34:09.282694+00,2025-06-27 01:38:23.576907+00,eb06d3ea-4a70-462c-9f56-d5e1979eb96f
106,t,529,2025-04-02 01:34:13.392529+00,2025-06-30 09:38:28.181844+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
44,y,261,2025-04-02 01:34:05.954973+00,2025-06-30 09:30:14.359657+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
31,t,36,2025-04-02 01:34:02.716546+00,2025-04-08 07:50:04.044828+00,318b4c0b-52f5-43c0-ad13-b41e1baf03c9
100,h,208,2025-04-02 01:34:13.384396+00,2025-06-30 09:38:28.190936+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
28,w,268,2025-04-02 01:34:00.563191+00,2025-06-30 08:08:30.164233+00,29a91abd-7963-46c8-96ff-3a074cf2d6f5
46,m,182,2025-04-02 01:34:05.958169+00,2025-06-30 09:30:14.360938+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
66,h,259,2025-04-02 01:34:06.446172+00,2025-06-30 09:10:32.170571+00,9f27d136-09de-407f-b405-7120b2d55daa
64,o,691,2025-04-02 01:34:06.443488+00,2025-06-30 09:17:29.225623+00,9f27d136-09de-407f-b405-7120b2d55daa
55,d,208,2025-04-02 01:34:05.970484+00,2025-06-30 08:46:46.844996+00,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200
104,e,611,2025-04-02 01:34:13.389882+00,2025-06-30 09:38:28.19227+00,683c0b43-1d2d-4e5a-b3ee-00de940a021c
63,a,752,2025-04-02 01:34:06.442149+00,2025-06-30 09:17:29.229436+00,9f27d136-09de-407f-b405-7120b2d55daa
60,m,234,2025-04-02 01:34:06.437674+00,2025-06-30 09:17:29.230754+00,9f27d136-09de-407f-b405-7120b2d55daa
